timestamp,container/edge-router_1/CPU_usage,container/edge-router_1/MEM_usage,container/edge-router_1/Cached_MEM_usage,container/edge-router_1/NET_Input,container/edge-router_1/NET_Output,container/edge-router_1/FS_usage,container/edge-router_1/FS_reads,container/edge-router_1/FS_writes,container/front-end_1/CPU_usage,container/front-end_1/MEM_usage,container/front-end_1/Cached_MEM_usage,container/front-end_1/NET_Input,container/front-end_1/NET_Output,container/front-end_1/FS_usage,container/front-end_1/FS_reads,container/front-end_1/FS_writes,service/edge-router:80/request_duration_seconds_count,service/edge-router:80/request_duration_seconds_bucket
1545209660,3.122096998,35258368,270336,426086.0646,429081.696,53248,0,0,3.937069883,112087040,106496,23746.17479,409397.9486,81920,0,0,34.85961594,223.6325284
1545209640,3.28122978,34779136,270336,423423.3184,426662.4503,53248,0,0,3.906463875,92917760,106496,24105.00082,406855.1478,81920,0,0,32.73798698,204.5214798
1545209610,2.806259852,34779136,270336,363209.4084,365790.2286,53248,0,0,3.569242818,83644416,106496,20316.83459,348961.9619,81920,0,0,32.45513555,199.4945363
1545209540,3.059485132,34009088,270336,383669.3851,386315.3844,53248,0,0,3.976090856,109006848,106496,21860.84632,368349.0319,81920,0,0,34.22440444,221.8221495
1545209480,2.630630545,27287552,270336,386174.5858,388536.9917,53248,0,0,3.809868611,108347392,106496,20861.12575,370219.9172,81920,0,0,32.61996109,220.3029256
1545209440,2.871662032,27287552,270336,422249.8845,431214.2869,53248,0,0,4.121167308,109002752,106496,22729.78385,403387.8592,81920,0,0,36.2389992,257.9460324
1545209390,2.432722705,26001408,270336,377024.0785,379307.176,53248,0,0,3.518677599,102785024,106496,21148.55326,382287.904,81920,0,0,37.47089639,286.0702852
1545209380,2.873011866,25903104,270336,434231.8801,436917.7632,53248,0,0,4.194774446,102424576,106496,23261.15182,423012.6922,81920,0,0,36.07272727,271.5272727
1545209370,2.566620251,25903104,270336,378387.2069,380693.9206,53248,0,0,3.732235124,101920768,106496,19865.4526,360950.0714,81920,0,0,37.09158348,278.4959727
1545209340,1.987360977,26025984,270336,273715.053,275453.33,53248,0,0,2.86122049,104316928,106496,15009.82981,265960.8252,81920,0,0,36.04160605,266.1478033
1545209240,2.507282021,23437312,270336,304698.4799,306323.23,53248,0,0,3.602606459,76812288,106496,16587.23615,295226.2686,81920,0,0,31.45111442,240.9918918
